File Name,                        Name
01-azure-virtual-network.md,      Azure Virtual Network
02-azure-dns.md,                  Azure DNS
03-azure-application-gateway.md,  Azure Application Gateway
04-azure-load-balancer.md,        Azure Load Balancer
05-azure-vpn-gateway.md,          Azure VPN Gateway
06-azure-virtual-machines.md,     Azure Virtual Machines
07-azure-app-service.md,          Azure App Service 
08-azure-container-instances.md,  Azure Container Instances 
09-azure-kubernetes-service.md,   Azure Kubernetes Service 
10-azure-blob-service.md,         Azure Blob Storage 
11-azure-files.md,                Azure Files
12-azure-entra-id.md,             Azure Entra ID
